claim_id,document_location,claim_text,value,source_file,source_row_or_section,source_column,notes
C001,frl_manuscript_v0.md title/abstract/body,"The empirical design centers on a post-2022 regime shift and post-2022 performance.",2022,"outputs/paper/tables/table1_sample_signal_summary.csv","Post window","Value","Post window is 2022-01 onward."
C002,frl_manuscript_v0.md section 2,"Nominal-rate beta is estimated before the post-2022 period over 1990-01 to 2021-12.","1990-01 to 2021-12","outputs/paper/tables/table1_sample_signal_summary.csv","Pre window for nominal beta","Value","Timing also cross-checked in outputs/data_integrity_report.md lines 63-67."
C003,frl_manuscript_v0.md section 2,"Real-rate and BEI betas are estimated over 2003-01 to 2021-12.","2003-01 to 2021-12","outputs/paper/tables/table1_sample_signal_summary.csv","Pre window for real/BEI beta","Value","Timing also cross-checked in outputs/data_integrity_report.md lines 63-67."
C004,frl_manuscript_v0.md introduction/section 3,"The preferred U.S. cross-section uses 176 signal observations.",176,"outputs/paper/tables/table2_main.csv","N","D real + BEI + mkt + vol","Same N appears in Columns A-F."
C005,frl_manuscript_v0.md abstract/introduction/section 3,"In the preferred U.S. specification, real_beta coefficient is 0.2112 and t-statistic is 4.06.","0.2112; 4.06","outputs/paper/tables/table2_main.csv","real_beta","D real + BEI + mkt + vol","Cell reports 0.2112 (4.06)."
C006,frl_manuscript_v0.md abstract/introduction/section 3,"With Cat.Economic fixed effects, real_beta t-statistic is 2.85.",2.85,"outputs/paper/tables/table2_main.csv","real_beta","E D + category FE","Cell reports 0.1848 (2.85)."
C007,frl_manuscript_v0.md abstract/introduction/section 3,"With category-clustered standard errors, real_beta t-statistic is 3.37.",3.37,"outputs/paper/tables/table2_main.csv","real_beta","F D clustered by category","Cell reports 0.2112 (3.37)."
C008,frl_manuscript_v0.md introduction/section 3,"Nominal-rate beta baseline coefficient is -0.1607 and t-statistic is -4.62.","-0.1607; -4.62","outputs/paper/tables/table2_main.csv","nominal/rate_beta","A nominal beta baseline","Cell reports -0.1607 (-4.62)."
C009,frl_manuscript_v0.md introduction/section 3,"After market beta and pre-period volatility controls, nominal-rate beta coefficient is -0.0816 and t-statistic is -1.37.","-0.0816; -1.37","outputs/paper/tables/table2_main.csv","nominal/rate_beta","B nominal + mkt + vol","Cell reports -0.0816 (-1.37)."
C010,frl_manuscript_v0.md section 2,"International validation sample has 3,251 factor-country observations, 22 countries, 153 factors, and 7 themes.","3251; 22; 153; 7","outputs/w2/w2_results.csv","W2-2 + mkt_beta + pre_vol + country FE","N; countries; factors; themes","Coverage also reported in outputs/w2/w2_coverage_report.md lines 16-19."
C011,frl_manuscript_v0.md section 3,"Category-level aggregation coefficient is 0.3509 and t-statistic is 2.01.","0.3509; 2.01","outputs/w1x_extra_robustness.csv","category_collapse","coef; t","Raw values are 0.35093540375685833 and 2.0085037663191625."
C012,frl_manuscript_v0.md section 3,"Signal bootstrap 95 percent interval is [0.1172, 0.3213].","[0.1172, 0.3213]","outputs/w1x_extra_robustness.csv","bootstrap_signals_2000","boot_p2_5; boot_p97_5","Raw values are 0.11724011701195802 and 0.3212866710255725."
C013,frl_manuscript_v0.md section 3,"Leave-one-category tests produce no sign flips.",0,"outputs/w1x_extra_robustness.md","Leave-One-Cat.Economic-Out","sign flips","Line 20 reports sign flips = 0."
C014,frl_manuscript_v0.md section 3,"Leave-one-month-out checks within 2022 keep the coefficient positive with minimum t-statistic 4.66.",4.66,"outputs/w1x_extra_robustness.md","2022 Concentration / leave-one-month-out","t min","Line 56 reports t min/median/max = 4.6623 / 5.6379 / 6.0619."
C015,frl_manuscript_v0.md section 3,"The post-2022 monthly panel interaction coefficient is -0.5937 and t-statistic is -2.435.","-0.5937; -2.435","outputs/repro_check.md","Panel mechanism test","b(real_beta x dDFII10); t-stat","Same values cross-checked in outputs/cache_repro_check.md lines 67-68."
C016,frl_manuscript_v0.md abstract/section 4,"W2-2 real_beta coefficient is 0.0624 and t-statistic is 7.72.","0.0624; 7.72","outputs/w2/w2_results.csv","W2-2 + mkt_beta + pre_vol + country FE","real_beta_coef; real_beta_t","Raw values are 0.06244957288142365 and 7.723953478223753."
C017,frl_manuscript_v0.md section 4,"With theme fixed effects, W2 real_beta t-statistic is 6.14.",6.14,"outputs/w2/w2_results.csv","W2-3 W2-2 + theme FE","real_beta_t","Raw value is 6.140537767212547."
C018,frl_manuscript_v0.md section 4,"W2 country-clustered real_beta t-statistic is 3.63.",3.63,"outputs/w2/w2_results.csv","W2-4 W2-2 country-clustered SE","real_beta_t","Raw value is 3.625505825380226."
C019,frl_manuscript_v0.md section 4,"W2 factor-clustered real_beta t-statistic is 5.80.",5.80,"outputs/w2/w2_results.csv","W2-5 W2-2 factor-clustered SE","real_beta_t","Raw value is 5.796099452258246."
C020,frl_manuscript_v0.md section 4,"W2 two-way country/factor clustered real_beta t-statistic is 3.35.",3.35,"outputs/w2/w2_results.csv","W2-6 W2-2 two-way clustered SE","real_beta_t","Raw value is 3.3504384506442455."
C021,highlights.md and cover_letter_v0.md,"Pre-2022 and post-2022 phrasing in companion manuscript files follows the verified beta and post windows.",2022,"outputs/paper/tables/table1_sample_signal_summary.csv","Pre window for real/BEI beta; Post window","Value","Real/BEI beta pre-window ends 2021-12; post window is 2022-01 onward."
C022,frl_manuscript_v2.md section 3,"Under the same pre-break protocol, the 2022 real-rate coefficient is 0.1745 with a t-statistic of 2.99.","0.1745; 2.99","outputs/w3/placebo_breaks_summary.csv","break_year=2022","real_beta_coef; real_beta_t","Raw values are 0.17451615296949016 and 2.9901630618350294."
C023,frl_manuscript_v2.md section 3,"The 2022 pseudo-break coefficient is larger than all six 2014-2019 placebo coefficients, which range from -0.1488 to 0.0724.","-0.1488 to 0.0724; 0 stronger","outputs/w3/placebo_breaks_summary.csv","placebo rows","real_beta_coef; placebo_stronger_count","Actual row reports placebo_stronger_count=0 and placebo_n=6."
C024,frl_manuscript_v2.md section 3,"The generated-regressor 95 percent interval is [0.0270, 0.2511] for six-month blocks.","[0.0270, 0.2511]","outputs/w3/generated_regressor_bootstrap.csv","block_length=6","p2_5; p97_5","Draws completed=1000."
C025,frl_manuscript_v2.md section 3,"The generated-regressor 95 percent interval is [0.0235, 0.2558] for twelve-month blocks.","[0.0235, 0.2558]","outputs/w3/generated_regressor_bootstrap.csv","block_length=12","p2_5; p97_5","Draws completed=1000."
C026,frl_manuscript_v2.md section 3/conclusion,"The multiverse transparency table finds no unreported contradiction to the narrow regime-break claim.","PASS","outputs/w3/multiverse_report.md","Final W3 gate","Gate Reasons","Nominal-rate fragility and negative panel evidence are explicitly classified as LIMITS."
